id;name;address;tx_power;advertisting_interval
1;Park parse Checking Account;Bedfordshire Gorgeous Soft Chicken parsing;97369;27598
2;withdrawal Branding RAM;help-desk;73350;91738
3;Open-source Future-proofed turn-key;wireless;32430;206
4;Keyboard port Reverse-engineered;RSS 3rd generation Branding;15919;51673
5;Technician Intelligent;open-source;8495;83475
6;panel;fuchsia;25605;68399
7;Assurance implement;Quality;60244;60291
8;Money Market Account Electronics solid state;mint green;1759;61353
9;Tokelau;end-to-end;2934;11536
10;New Hampshire quantifying Italy;Chair;58706;88001
