id;time_reacord;read_rssi;mean_rssi;smoot_rssi;smoot_distance;mean_distance
1;2020-05-05;60002;58644;47073;91958;52086
2;2020-05-04;57374;42821;91138;80351;3222
3;2020-05-05;87782;1952;99374;36078;4931
4;2020-05-05;84963;28865;62513;26101;61076
5;2020-05-04;86382;8809;80407;22618;67747
6;2020-05-04;74401;48817;52027;12809;4064
7;2020-05-05;1813;53921;92077;24563;38908
8;2020-05-05;11959;26274;21946;21003;88728
9;2020-05-05;95903;80555;50325;28377;99078
10;2020-05-05;31969;16218;6681;16149;52600
